country,pr_1980,cl_1980,pr_1985,cl_1985,pr_1990,cl_1990,pr_1995,cl_1995,pr_2000,cl_2000,pr_2005,cl_2005,pr_2010,cl_2010,pr_2015,cl_2015,pr_2020,cl_2020,basic_water_access,basic_sanit_access,fin_services,improved_water_access,improved_sanit_access,limited_water_access,limited_sanit_access,safe_water_access,unimproved_water_access,unimproved_sanit_access,agricultural_land,teacher_sal,total_sch_adult,corrupt_business,childmort_ihme,continent,corruption_perception,conf_terr_deaths,dtp_vax_pct,humanrights_fsi,gdppc_ppp,gdppc_ppp_current,gini,gini3,gini2,hunger_index_ifpri,corrupt_gov,hdi_undp,humanrights_fariss,corrupt_judges,corrupt_legislature,corrupt_localgov,mil_spend_pct_gdp,mil_spend_total,cell_subscribers_per100,childmort_,no_water_access,no_sanit_access,gdppc_output_pwt,docs_perk,corrupt_police,regime,pop_est2,pop_est,pop_total,corrupt_exec,corrupt_relig,corrupt_tax,ruggedness,tax_rev_ictd,corrupt_trad,worldbank_region,col.belgium,col.britain,col.france,col.germany,col.italy,col.netherlands,col.portugal,col.spain,colstart.belgium_max,colstart.britain_max,colstart.france_max,colstart.germany_max,colstart.italy_max,colstart.netherlands_max,colstart.portugal_max,colstart.spain_max,colend.belgium_max,colend.britain_max,colend.france_max,colend.germany_max,colend.italy_max,colend.netherlands_max,colend.portugal_max,colend.spain_max,colstart.belgium_mean,colstart.britain_mean,colstart.france_mean,colstart.germany_mean,colstart.italy_mean,colstart.netherlands_mean,colstart.portugal_mean,colstart.spain_mean,colend.belgium_mean,colend.britain_mean,colend.france_mean,colend.germany_mean,colend.italy_mean,colend.netherlands_mean,colend.portugal_mean,colend.spain_mean
France,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,99.9999985,98.64760678,96.58276,99.9999985,99.9999985,0,1.352391728,99.24882645,1.5e-6,1.5e-6,28660100,28524.5738130611,11.5,61,0.425,Europe,72,0,96,2.2,42025.6173730617,46226.9505356869,32.38069,31.41,32.700001,NA,48,0.901,1.868426729,34,52,NA,1.85722004091871,55681000000,110.6100121,0.45,0,0,39461.105,3.2672,41,9,65426177,65426177,67391582,NA,31,NA,NA,47.191743,NA,Advanced industrial economies,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,6,6,6,6,4,4,5,4,5,4,6,4,6,5,6,5,7,5,85.3419306,49.82416677,30.15455,93.0771937,78.71822316,7.735263103,28.89405639,NA,6.922808357,19.27446443,2212640,NA,8.2,NA,4.051,Africa,31,2,70,6.6,14399.8688094117,15190.6386251211,38.02437000000001,NA,NA,15.4,NA,0.702,0.072854102,NA,NA,NA,1.59301497980048,198000000,137.75384,4.25,3.106059537,2.007312407,11803.617,0.6819,NA,3,2278829,2278829,2225728,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,NA,NA,1886,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1855,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA
Georgia,NA,NA,NA,NA,NA,NA,4,5,4,4,3,3,4,3,3,3,4,3,97.3481397,85.76672943,39.66507,97.3481397,86.73356365,0,0.966834223,66.35490242,2.632761379,13.25973654,2371800,NA,12.8,28,1.234,Asia,58,0,94,6.1,14089.3023335327,14863.0173692196,35.94862,40.48,36.43,8.1,26,0.78,0.846184377,51,34,NA,1.9899664867402,315000000,134.7205052,0.96,0.019098923,0.006699807,13077.325,7.1201,26,7,3979773,3979773,3714000,NA,8,NA,NA,23.181938,NA,Eastern Europe and Central Asia,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,NA,NA,NA,NA,1,2,1,2,1,2,1,1,1,1,1,1,1,1,100,99.22561915,98.76041,100,100,0,0.774383182,99.99302783,0,0,16645000,54426.231143996,14.1,61,0.388,Europe,80,0,93,1.8,50922.3580234484,53694.3547123431,31.87067,28.84,31.74,NA,49,0.936,2.930530899,20,48,NA,1.27950017689277,40985000000,128.3570318,0.38,0,0,47556,4.2488,20,10,83900471,83900471,83240525,NA,34,NA,NA,39.042751,NA,Advanced industrial economies,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,2,3,7,6,6,5,4,4,2,3,1,2,1,2,1,2,2,2,85.79099665,23.70247451,34.61837,92.37705877,71.14407701,6.586062113,47.44160249,41.4104497,2.812216176,11.07780392,14782740,NA,7.1,38,6.276,Africa,41,20,97,4.9,5304.98352460298,5596.30707064456,43.52088,40.07,42.369999,15.2,59,0.592,0.23130234,71,57,NA,0.441936077881951,146000000,134.3193846,4.62,4.810725058,17.77811907,4988.8574,0.1359,92,8,31732128,31732128,31072945,NA,21,NA,NA,12.283351,NA,Sub-Saharan Africa,0,1,0,1,0,0,1,0,NA,1874,NA,1884,NA,NA,1482,NA,NA,1957,NA,1916,NA,NA,1823,NA,NA,1874,NA,1884,NA,NA,1476,NA,NA,1957,NA,1916,NA,NA,1823,NA
Greece,1,2,2,2,1,2,1,3,1,3,1,2,1,2,2,2,1,2,100,98.99374813,87.51865,100,100,0,1.006254209,100,0,0,6103600,18679.3191114494,10.8,65,0.492,Europe,45,0,99,3.7,27287.0834009302,28463.7886828947,32.89121,32.759998,36,NA,66,0.87,0.723140758,66,83,NA,2.57197233561943,4986000000,113.4494873,0.38,0,0,23765.188,5.4789,56,10,10370747,10370747,10715549,NA,49,NA,NA,39.5599,NA,Advanced industrial economies,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grenada,6,5,2,3,2,2,1,2,1,2,1,2,1,2,1,2,1,2,95.62865044,91.49389213,NA,96.79013203,93.70684932,1.161481584,2.212957181,87.11526835,0,2.752054795,8000,NA,8.7,NA,1.5550000000000002,North America,52,0,92,4,15065.8719536331,15893.2153791848,NA,NA,NA,NA,NA,0.772,2.360295215,NA,NA,NA,NA,NA,104.2439033,1.65,3.209867972,3.54109589,11668.589,1.4067,NA,NA,113015,113015,112519,NA,NA,NA,NA,21.671429,NA,NA,0,1,1,0,0,0,0,0,NA,1762,1650,NA,NA,NA,NA,NA,NA,1974,1762,NA,NA,NA,NA,NA,NA,1762,1650,NA,NA,NA,NA,NA,NA,1970,1762,NA,NA,NA,NA,NA
Guatemala,6,6,4,4,3,4,4,5,3,4,4,4,4,4,4,4,4,4,94.00642827,67.92858108,40.78673,95.04057878,78.80374317,1.034150511,10.87516209,55.83407651,3.215911815,19.17265722,3856000,NA,6.5,NA,2.683,North America,27,0,85,6.7,8393.28464317623,8854.20246390959,48.27859,54.240002,48.310001,20.8,NA,0.65,0.296720965,NA,NA,NA,0.418531309291634,259000000,118.7279996,2.45,1.743509404,2.023599609,7255.5654,0.3549,NA,8,18249868,18249868,16858333,NA,NA,NA,NA,10.893322,NA,Latin America and Caribbean,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1524,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,1524,NA,NA,NA,NA,NA,NA,NA,1821
Guinea,7,7,7,5,6,5,6,5,6,5,6,5,5,5,5,5,5,5,63.96178874,29.77614039,6.170127,85.24338024,57.96846037,21.2815915,28.19231998,NA,6.296119406,30.22324234,14500000,NA,2.6,NA,10.306,Africa,28,13,47,8.5,2670.82335507161,2817.49180880792,33.7297,43,33.73,28.9,NA,0.459,0.002368991,NA,NA,NA,2.02917402570411,180000000,100.7967429,9.88,8.460500354,11.80829729,2281.5024,0.0832,NA,4,13497237,13497237,13132792,NA,NA,NA,NA,11.90538,NA,Sub-Saharan Africa,0,0,1,0,0,0,0,0,NA,NA,1881,NA,NA,NA,NA,NA,NA,NA,1958,NA,NA,NA,NA,NA,NA,NA,1858,NA,NA,NA,NA,NA,NA,NA,1958,NA,NA,NA,NA,NA
Guinea-Bissau,6,6,6,6,6,5,3,4,4,5,3,4,4,4,5,5,5,4,59.01691221,18.2250438,NA,73.05148358,31.81823393,14.03457137,13.59319012,24.3268252,26.6263769,57.85369847,815110,NA,3,NA,8.062000000000001,Africa,16,0,84,7.5,1847.46582390878,1948.91954049728,50.66424000000001,NA,NA,29.1,NA,0.455,1.201649104,NA,NA,NA,1.42467488288604,17000000,82.79258606,7.85,0.322139519,10.3280676,1667.894,0.1274,NA,6,2015490,2015490,1967998,NA,NA,NA,NA,8.057724,NA,NA,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,1879,NA,NA,NA,NA,NA,NA,NA,1974,NA,NA,NA,NA,NA,NA,NA,1879,NA,NA,NA,NA,NA,NA,NA,1973,NA
Guyana,5,4,5,5,5,4,2,2,2,2,3,3,2,3,2,3,2,3,95.55480685,85.78250661,NA,96.76005125,96.02112261,1.205244408,10.238616,NA,1.143069849,3.368738931,1251250,NA,8.4,NA,2.8640000000000003,South America,37,0,99,4.1,18679.9802308198,19705.7926684251,45.11814,NA,NA,12.6,NA,0.654,0.90521378,NA,NA,NA,1.65096871526441,49000000,82.97107151,2.93,2.096878897,0.61013846,NA,0.8023,NA,7,790329,790329,786559,NA,NA,NA,NA,20.991796,NA,NA,0,1,0,0,0,1,0,0,NA,1814,NA,NA,NA,1580,NA,NA,NA,1966,NA,NA,NA,1815,NA,NA,NA,1814,NA,NA,NA,1580,NA,NA,NA,1966,NA,NA,NA,1815,NA,NA
Haiti,7,6,7,6,4,4,5,5,6,5,7,6,4,5,5,5,5,5,66.6953084,37.12173441,17.4961,76.50985205,65.59157737,9.814543652,28.46984297,NA,23.49014795,16.27515798,1840000,NA,5.3,NA,6.354,North America,20,0,51,7.5,2773.08136431323,2925.36532387067,41.10377,59.48,60.790001,35.4,NA,0.498,0.590256953,NA,NA,NA,0.0012872753728041,0,60.7594177,6.28,0,18.13326464,1668.6489,0.2343,NA,0,11541683,11541683,11402533,NA,NA,NA,NA,6.086794,NA,Latin America and Caribbean,0,0,1,0,0,0,0,0,NA,NA,1665,NA,NA,NA,NA,NA,NA,NA,1804,NA,NA,NA,NA,NA,NA,NA,1665,NA,NA,NA,NA,NA,NA,NA,1804,NA,NA,NA,NA,NA
Honduras,4,3,2,3,2,3,3,3,3,3,3,3,4,4,4,4,4,5,95.68922113,83.77658071,30.04366,96.11484174,93.03728406,0.425620608,9.260703356,NA,3.885158264,2.786521384,3356000,NA,6.5,NA,1.592,North America,29,0,87,6,5138.38539820015,5420.56019632902,48.16817,55.240002,49.580002,14.4,NA,0.617,-0.621338298,NA,NA,NA,1.62964671487614,347000000,77.56759949,1.6800000000000002,0,4.176194551,4254.9927,0.3089,NA,7,10062994,10062994,9904608,NA,NA,NA,NA,18.54977,NA,Latin America and Caribbean,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1524,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,1524,NA,NA,NA,NA,NA,NA,NA,1821
Hungary,6,5,5,5,2,2,1,2,1,2,1,1,1,1,2,2,3,3,99.99999747,97.9837035,72.25683,99.99999747,99.99999747,0,2.016293974,92.58851023,2.53e-6,2.53e-6,5296000,13299.5905478387,11.9,63,0.523,Europe,46,0,99,4.1,31007.7684065437,33084.0962334341,29.612040000000004,NA,NA,NA,36,0.838,1.089712178,33,56,NA,1.22083124174441,1258000000,106.0716003,0.3700000000000001,0,0,22571.65,3.4075,38,10,9634162,9634162,9749763,NA,20,NA,NA,35.223992,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iceland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99.99999721,98.78054272,NA,99.99999721,99.99999721,0,1.21945449,99.99999721,2.79e-6,2.79e-6,1872000,26046.1738415823,12.4,NA,0.246,Europe,76,0,91,1.4,52279.7288513646,55216.0261783821,26.13158,26.83,27.799999,NA,NA,0.935,4.937323598,NA,NA,NA,0,17800000,121.9493203,0.2,0,0,41306.172,4.0778,NA,NA,343360,343360,366425,NA,NA,NA,NA,35.133076,NA,Advanced industrial economies,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,2,3,2,3,2,3,4,4,2,3,2,3,2,3,2,3,2,4,90.48952503,71.26847596,52.75381,95.47312759,83.36708575,4.983602562,12.09860979,NA,3.963153945,1.705987554,179674000,11734.693877551,6.4,38,4.083,Asia,41,688,91,5.6,6118.35733018965,6454.34735638183,NA,NA,NA,31.1,45,0.64,-1.394107965,25,33,NA,2.39524637862075,55631000000,84.27000876,3.4299999999999997,0.563718463,14.9269267,6421.6704,0.8571,54,9,1393409033,1393409033,1380004385,NA,33,NA,NA,17.033403,NA,NA,0,1,0,0,0,0,0,0,NA,1857,NA,NA,NA,NA,NA,NA,NA,1947,NA,NA,NA,NA,NA,NA,NA,1803,NA,NA,NA,NA,NA,NA,NA,1947,NA,NA,NA,NA,NA,NA
Indonesia,5,5,5,6,6,5,7,6,3,4,2,3,2,3,2,4,2,4,92.41534961,86.462642,35.94736,93.27082425,92.53975768,0.855474634,6.077115676,NA,5.553871666,1.35380322,62300000,1559.8980549110902,8,25,2.915,Asia,38,57,85,6.2,11444.9606828103,12073.461509431,NA,31,41,21.9,50,0.694,-0.433937111,32,54,NA,0.674409306193166,7783000000,126.1069128,2.39,1.175304087,6.106439105,10594.067,0.4269,40,9,276361788,276361788,273523621,NA,7,NA,NA,8.312734,NA,East Asia and Pacific,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,1623,NA,NA,NA,NA,NA,NA,NA,1962,NA,NA,NA,NA,NA,NA,NA,1621,NA,NA,NA,NA,NA,NA,NA,1952,NA,NA
Iran,5,5,5,6,6,5,6,7,6,6,6,6,6,6,6,6,6,6,97.48263633,90.26676799,92.17522,99.42094756,99.99999767,1.938311229,9.733229683,93.98386362,0.513797363,2.33e-6,45954000,NA,9.8,NA,1.5910000000000002,Asia,28,38,99,9.3,12433.2969754764,13116.0723596195,42.0033,44.099998,38.779999,7.3,NA,0.798,-1.377935842,NA,NA,NA,2.31211869651981,12383000000,142.3903718,1.39,0.065255082,0.373516009,15964.644,1.5844,NA,-7,85028760,85028760,83992953,NA,NA,NA,NA,7.71485,NA,Middle East and North Africa,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iraq,6,7,7,7,7,7,7,7,7,7,6,5,5,6,5,6,5,6,98.35990325,99.96973686,10.97235,99.2520636,99.96973686,0.892160349,0,59.66446001,2.43e-6,0.030263137,9250000,NA,6.8,23,2.565,Asia,18,1779,84,8.7,9255.25690289807,9763.50999133341,29.541859999999996,NA,NA,22.1,32,0.685,-2.388372091,26,34,NA,3.46870327675224,6188000000,94.69591577,2.59,0.747933971,0,15300.658,0.7079,30,6,41179351,41179351,40222503,NA,11,NA,NA,1.377809,NA,NA,0,1,0,0,0,0,0,0,NA,1920,NA,NA,NA,NA,NA,NA,NA,1932,NA,NA,NA,NA,NA,NA,NA,1917,NA,NA,NA,NA,NA,NA,NA,1932,NA,NA,NA,NA,NA,NA
Ireland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97.39970651,91.33736508,94.71014,97.39970651,98.28959212,0,6.952227035,97.32902931,2.600293485,1.710407884,4516000,30733.409544554503,12.5,NA,0.373,Europe,73,0,94,1.2,89688.9569584859,93612.1659106094,31.3598,32.889999,31.82,NA,NA,0.938,2.718400896,NA,NA,NA,0.289905561147425,993000000,105.6900007,0.33,0,0,75916.094,3.3125,NA,10,4982904,4982904,4994724,NA,NA,NA,NA,22.690615,NA,Advanced industrial economies,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,2,2,2,2,2,2,1,3,1,3,1,2,1,2,1,2,2,3,100,99.94903563,89.95277,100,99.94903563,0,0,99.32107052,0,0.050964375,623300,19506.7474826237,13,49,0.385,Asia,61,6,98,7.1,38341.3075704083,41854.9341515478,39.01302,38.860001,41.369999,NA,60,0.903,-1.064022925,33,NA,NA,5.25765124944827,17800000000,137.3339858,0.3700000000000001,0,0,36185.711,4.6249,51,6,8789776,8789776,9216900,NA,73,NA,NA,31.118041,NA,Advanced industrial economies,0,1,0,0,0,0,0,0,NA,1923,NA,NA,NA,NA,NA,NA,NA,1948,NA,NA,NA,NA,NA,NA,NA,1920,NA,NA,NA,NA,NA,NA,NA,1948,NA,NA,NA,NA,NA,NA
Italy,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,99.91703407,99.8851602,87.33458,99.91703407,99.9857922,0,0.100632003,95.82368779,0.082965926,0.014207799,12405000,27941.5534341098,10.2,52,0.35000000000000003,Europe,52,0,95,2.8,38992.1483807498,41839.9910228994,35.928000000000004,34.93,35.400002,NA,61,0.88,1.368498227,47,77,NA,1.35140677952185,27966000000,131.2645046,0.31000000000000005,0,0,37999.699,3.9774,27,10,60367471,60367471,59554023,NA,39,NA,NA,42.653777,NA,Advanced industrial economies,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamaica,2,3,2,3,2,2,2,3,2,2,2,3,2,3,2,3,2,2,91.0299445,86.60642453,78.34596,96.39751542,98.94905395,5.367570914,12.34262941,NA,1.864010203,0.253366249,444000,13354.4435329505,9.8,36,1.56,North America,44,0,96,5.1,8741.55044328036,9221.59330509648,45.45747,NA,NA,8.6,46,0.732,-0.026261613,47,74,NA,1.60471496535028,119000000,102.5640043,1.39,1.738474379,0.797579805,6804.9565,1.3061,86,9,2973462,2973462,2961161,NA,19,NA,NA,26.961458,NA,NA,0,1,0,0,0,0,0,1,NA,1655,NA,NA,NA,NA,NA,1509,NA,1962,NA,NA,NA,NA,NA,1655,NA,1655,NA,NA,NA,NA,NA,1509,NA,1962,NA,NA,NA,NA,NA,1655
Japan,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,99.07891245,99.921764,96.64558,99.07891245,99.921764,0,0,98.56544671,0.921087547,0.078235998,4420000,29009.316340570495,12.8,19,0.27599999999999997,Asia,73,0,98,3.3,41380.0935773113,42197.2548051299,32.854729999999996,NA,NA,NA,26,0.909,2.370679835,3,31,NA,0.93060218321466,41569000000,147.0232275,0.25,0,0,40373.75,2.4115,8,10,126050796,126050796,125836021,NA,36,NA,NA,31.565426,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,6,6,5,5,5,5,4,4,4,4,5,4,6,5,6,5,6,5,98.94030296,97.08435633,24.61591,99.0865177,98.73992288,0.146214737,1.655566549,85.70051235,0.85364747,1.154810195,1021800,7976.25,10.4,NA,1.491,Asia,49,4,89,7.3,9816.55452971638,10355.631317089,33.65573,NA,NA,11.2,NA,0.735,0.145846286,NA,NA,NA,4.68053695948668,1766000000,77.00460933,1.56,0.059834832,0.105266924,8996.9414,2.3237,NA,-3,10269022,10269022,10203140,NA,NA,NA,NA,15.917348,NA,NA,0,1,0,0,0,0,0,0,NA,1923,NA,NA,NA,NA,NA,NA,NA,1946,NA,NA,NA,NA,NA,NA,NA,1923,NA,NA,NA,NA,NA,NA,NA,1946,NA,NA,NA,NA,NA,NA
Kazakhstan,NA,NA,NA,NA,NA,NA,6,5,6,5,6,5,6,5,6,5,7,5,95.43497032,97.8671202,53.90742,97.37639536,99.90632918,1.941425039,2.039208979,89.33464774,2.545956934,0.093670817,216036500,NA,11.8,40,1.582,Asia,31,0,97,7.2,25337.152399391,26728.5439182062,27.79287,36.040001,26.860001,5.5,53,0.8,-0.158347042,63,27,NA,1.05635236728267,1504000000,138.6292278,1.05,0.077647705,0,21053.27,3.98,66,-6,18994958,18994958,18754440,NA,15,NA,NA,17.940929,NA,Eastern Europe and Central Asia,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,5,4,6,5,6,6,7,6,6,5,3,3,4,3,4,4,4,4,61.63289158,32.69894486,55.20554,71.17476163,58.16893417,9.54187005,25.46998931,NA,9.780087524,33.32472606,27630000,NA,6.5,29,4.815,Africa,27,68,92,6.8,4220.44024846369,4452.20602367052,40.77577,44.98,40.779999,23.2,59,0.59,-1.201222357,58,68,NA,1.1559413296704,908000000,103.7690208,4.32,19.04515084,8.506339764,3072.0334,0.1565,95,9,54985702,54985702,53771300,NA,15,NA,NA,13.618505,NA,Sub-Saharan Africa,0,1,0,0,0,0,0,0,NA,1895,NA,NA,NA,NA,NA,NA,NA,1963,NA,NA,NA,NA,NA,NA,NA,1891,NA,NA,NA,NA,NA,NA,NA,1963,NA,NA,NA,NA,NA,NA
Kiribati,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,77.97092085,45.57596312,NA,82.04782047,62.10676481,4.076899625,16.53080169,14.68780908,17.95217953,8.121932242,34000,NA,7.9,NA,4.525,Oceania,NA,0,97,NA,2291.90721878662,2417.76746605762,36.973,NA,NA,NA,NA,0.612,4.107931326,NA,NA,NA,NA,NA,46.47551996,5.09,0,29.77130295,NA,0.2039,NA,NA,121388,121388,119446,NA,NA,NA,NA,16,NA,NA,0,1,0,0,0,0,0,0,NA,1892,NA,NA,NA,NA,NA,NA,NA,1979,NA,NA,NA,NA,NA,NA,NA,1892,NA,NA,NA,NA,NA,NA,NA,1979,NA,NA,NA,NA,NA,NA
Kosovo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,6,4,4,4,7,7,5,5,4,5,4,5,4,5,5,5,5,5,100,100,72.90818,100,100,0,0,100,0,0,150000,NA,7.3,NA,0.836,Asia,41,0,91,6.9,49853.7362805684,51962.0476983501,NA,NA,NA,5,NA,0.803,0.694287592,NA,NA,NA,5.61550103910841,6370000000,174.1593403,0.79,0,0,39343.883,2.6463,NA,-7,4328553,4328553,4270563,NA,NA,NA,NA,2.117747,NA,NA,0,1,0,0,0,0,0,0,NA,1914,NA,NA,NA,NA,NA,NA,NA,1961,NA,NA,NA,NA,NA,NA,NA,1914,NA,NA,NA,NA,NA,NA,NA,1961,NA,NA,NA,NA,NA,NA
Kyrgyzstan,NA,NA,NA,NA,NA,NA,4,4,6,5,5,4,5,5,5,5,7,5,91.69930522,97.89104384,18.4706,93.60003934,99.99991585,1.900734111,2.108872007,70.08973028,1.8656487,8.42e-5,10541300,NA,10.9,57,2.2070000000000003,Asia,29,0,95,7.3,4706.57023774883,4965.03187575313,29.701220000000003,31.040001,29,9.3,90,0.672,-0.403234839,89,77,NA,1.50540811623398,212000000,134.3947411,1.83,4.534311965,0,10572.493,2.213,90,7,6628347,6628347,6591600,NA,25,NA,NA,25.803841,NA,Eastern Europe and Central Asia,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laos,7,7,7,7,6,7,7,6,7,6,7,6,7,6,7,6,7,6,85.21974318,79.48011751,26.77346,88.78660092,82.16000997,3.566857739,2.679892463,17.68190469,10.62886799,1.350018077,2394000,NA,5.2,NA,6.344,Asia,29,0,68,8,7805.79855611968,8234.45453676671,38.80243,32.619999,36.389999,25.3,NA,0.601,0.91023329,NA,NA,NA,0.189895181780941,23100000,60.84399721,4.55,0.584531094,16.48997195,6518.4531,0.3726,NA,-7,7379358,7379358,7275556,NA,NA,NA,NA,12.243266,NA,East Asia and Pacific,0,0,1,0,0,0,0,0,NA,NA,1893,NA,NA,NA,NA,NA,NA,NA,1954,NA,NA,NA,NA,NA,NA,NA,1892,NA,NA,NA,NA,NA,NA,NA,1952,NA,NA,NA,NA,NA
Latvia,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,2,2,2,2,1,2,98.78260115,92.42436928,90.21825,99.4649019,94.61397098,0.682300742,2.189601699,96.28940218,0.535098104,5.386029019,1938000,8554.81683714692,12.8,46,0.554,Europe,58,0,99,3.3,29932.4939100562,32019.2223351007,35.09615,NA,NA,5,63,0.847,2.059508776,48,56,NA,2.03174880744944,406000000,108.6572233,0.36000000000000004,0,0,24139.602,3.1905,47,8,1866934,1866934,1901548,NA,13,NA,NA,31.613875,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lebanon,4,4,5,4,6,5,6,5,6,5,5,4,5,3,5,4,5,4,92.6,99.2,46.92714,100,100,7.4,0.8,47.7,0,0,658000,NA,8.7,68,0.781,Asia,28,14,83,6.8,11649.0501121276,12288.7585242164,31.83245,NA,NA,11.7,68,0.757,-0.23126407,69,68,NA,4.24221838501955,2239000000,61.81650253,0.7200000000000001,0,0,15059.002,2.1038,65,6,6769151,6769151,6825442,NA,65,NA,NA,15.865842,NA,NA,0,0,1,0,0,0,0,0,NA,NA,1923,NA,NA,NA,NA,NA,NA,NA,1946,NA,NA,NA,NA,NA,NA,NA,1921,NA,NA,NA,NA,NA,NA,NA,1946,NA,NA,NA,NA,NA
