country,pr_1980,cl_1980,pr_1985,cl_1985,pr_1990,cl_1990,pr_1995,cl_1995,pr_2000,cl_2000,pr_2005,cl_2005,pr_2010,cl_2010,pr_2015,cl_2015,pr_2020,cl_2020,basic_water_access,basic_sanit_access,fin_services,improved_water_access,improved_sanit_access,limited_water_access,limited_sanit_access,safe_water_access,unimproved_water_access,unimproved_sanit_access,agricultural_land,teacher_sal,total_sch_adult,corrupt_business,childmort_ihme,continent,corruption_perception,conf_terr_deaths,dtp_vax_pct,humanrights_fsi,gdppc_ppp,gdppc_ppp_current,gini,gini3,gini2,hunger_index_ifpri,corrupt_gov,hdi_undp,humanrights_fariss,corrupt_judges,corrupt_legislature,corrupt_localgov,mil_spend_pct_gdp,mil_spend_total,cell_subscribers_per100,childmort_,no_water_access,no_sanit_access,gdppc_output_pwt,docs_perk,corrupt_police,regime,pop_est2,pop_est,pop_total,corrupt_exec,corrupt_relig,corrupt_tax,ruggedness,tax_rev_ictd,corrupt_trad,worldbank_region,col.belgium,col.britain,col.france,col.germany,col.italy,col.netherlands,col.portugal,col.spain,colstart.belgium_max,colstart.britain_max,colstart.france_max,colstart.germany_max,colstart.italy_max,colstart.netherlands_max,colstart.portugal_max,colstart.spain_max,colend.belgium_max,colend.britain_max,colend.france_max,colend.germany_max,colend.italy_max,colend.netherlands_max,colend.portugal_max,colend.spain_max,colstart.belgium_mean,colstart.britain_mean,colstart.france_mean,colstart.germany_mean,colstart.italy_mean,colstart.netherlands_mean,colstart.portugal_mean,colstart.spain_mean,colend.belgium_mean,colend.britain_mean,colend.france_mean,colend.germany_mean,colend.italy_mean,colend.netherlands_mean,colend.portugal_mean,colend.spain_mean
Ecuador,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,95.35976356,91.52492213,46.21243,95.36321502,98.87797637,0.003451463,7.353054239,66.8266645,2.604485389,0.216945683,5448000,NA,8.7,NA,1.901,South America,34,0,85,5,10329.1987527594,10896.4274339544,45.71153,56.380001,45.950001,11.8,NA,0.752,0.643758092,NA,NA,NA,2.28682401290989,2130000000,91.24789005,1.4,2.032299589,0.905077948,9879.7666,2.0368,NA,5,17888474,17888474,17643060,NA,NA,NA,NA,14.039304,NA,Latin America and Caribbean,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1535,NA,NA,NA,NA,NA,NA,NA,1829,NA,NA,NA,NA,NA,NA,NA,1534,NA,NA,NA,NA,NA,NA,NA,1823
Egypt,5,5,4,4,5,4,6,6,6,5,6,5,6,5,6,5,6,6,99.44017596,97.32547363,13.65175,99.67778507,98.94199638,0.237609109,1.616522757,NA,0.322214927,1.058003618,3835968.8,1045.75163398693,7.2,48,2.039,Africa,35,682,95,9.7,11951.4475270117,12607.7621145597,31.53395,32.759998,31.82,14.8,76,0.696,-1.536419686,65,71,NA,1.1804530017153,5357000000,94.97170247,2.03,0,0,11202.346,0.4521,78,-4,104258327,104258327,102334403,NA,31,NA,NA,NA,NA,Middle East and North Africa,0,1,0,0,0,0,0,0,NA,1882,NA,NA,NA,NA,NA,NA,NA,1935,NA,NA,NA,NA,NA,NA,NA,1882,NA,NA,NA,NA,NA,NA,NA,1926,NA,NA,NA,NA,NA,NA
El Salvador,5,5,2,4,3,4,3,3,2,3,2,3,2,3,2,3,2,4,97.94657541,82.44975254,34.63472,98.15383864,99.23428656,0.207263232,16.78453402,NA,0.315173997,0.468328517,1479120,NA,6.9,46,1.3490000000000002,North America,35,0,81,5.8,8056.54308612849,8498.96872040289,38.77876,51.470001,40.549999,10.1,76,0.674,0.246425049,81,70,NA,1.19488893887581,228000000,146.9221022,1.33,1.530987366,0.297384925,6659.7993,1.5662,87,8,6518500,6518500,6486201,NA,31,NA,NA,17.98653,NA,Latin America and Caribbean,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1528,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,1525,NA,NA,NA,NA,NA,NA,NA,1821
Equatorial Guinea,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,64.66581606,66.31278955,NA,67.62381529,76.19229263,2.957999225,9.879503075,NA,26.03770633,20.95363617,284000,NA,5.5,NA,5.916,Africa,16,0,53,9.5,17007.6247800252,17941.5996995858,NA,NA,NA,NA,NA,0.591,0.004124115,NA,NA,NA,1.07214133360045,17900000,45.16686721,8.18,6.338478386,2.854071201,14478.681,0.4017,NA,-6,1449891,1449891,1402985,NA,NA,NA,NA,7.785973,NA,NA,0,1,0,0,0,0,1,1,NA,1827,NA,NA,NA,NA,1778,1858,NA,1857,NA,NA,NA,NA,1778,1968,NA,1827,NA,NA,NA,NA,1778,1858,NA,1857,NA,NA,NA,NA,1778,1968
Eritrea,NA,NA,NA,NA,NA,NA,6,4,7,5,7,6,7,7,7,7,7,7,51.84972018,11.93996659,NA,69.44697602,21.70390824,17.59725585,9.763941649,NA,13.45014014,11.29214138,7592000,NA,4,NA,5.133,Africa,24,0,95,9.2,NA,1625.50767298855,NA,NA,NA,NA,NA,0.44,-1.9641295,NA,NA,NA,20.8657453093811,724000000,20.36395515,4.05,17.10288384,67.00395038,NA,0.0628,NA,-7,3601462,3601462,3213969,NA,NA,NA,NA,19.52526,NA,NA,0,1,0,0,1,0,0,0,NA,1941,NA,NA,1890,NA,NA,NA,NA,1951,NA,NA,1941,NA,NA,NA,NA,1941,NA,NA,1885,NA,NA,NA,NA,1951,NA,NA,1940,NA,NA,NA
Estonia,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,1,1,1,1,1,1,99.59078178,99.14176925,97.67167,99.59078178,99.84125736,0,0.699488104,95.76106635,0.409218223,0.158742642,1004000,17314.1579034553,12.7,41,0.31800000000000006,Europe,73,0,91,2.5,35638.4213511812,38394.9175345121,30.32145,37.200001,32.669998,5,38,0.871,2.713978606,26,33,NA,2.12043452820386,494000000,147.1771541,0.24,0,0,25939.426,4.4833,17,9,1325188,1325188,1331057,NA,12,NA,NA,33.332993,NA,Eastern Europe and Central Asia,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eswatini,5,5,5,6,6,5,6,5,6,5,7,5,7,5,7,5,7,5,70.75307095,64.29217458,28.56944,80.26013811,85.9246054,9.507067163,21.63243082,NA,9.835567931,10.26137976,1222000,NA,6.5,NA,4.992000000000001,Africa,38,0,90,8,8392.71756391091,8853.60424344626,54.57979,NA,NA,22.5,NA,0.588,0.559096043,NA,NA,NA,1.82325832243618,72800000,93.52732251,4.94,9.904293959,3.814014842,7309.0186,0.3285,NA,-9,1172369,1172369,1160164,NA,NA,NA,NA,25.328146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,7,7,7,7,7,7,4,5,5,5,5,5,6,6,7,6,6,6,49.61557274,8.910277929,21.79158,76.35629238,17.73639874,26.74071964,8.826120808,12.57741919,18.63506013,65.26842511,37903000,NA,2.7,29,6.058,Africa,34,165,69,8,2296.82735215213,2422.95778889544,34.993120000000005,29.98,39.07,29.1,35,0.463,-1.950493427,35,23,NA,0.601169492105336,448000000,37.2180717,5.07,5.008647486,16.99517615,1591.4904,0.0769,42,NA,117876226,117876226,114963583,NA,27,NA,NA,NA,NA,Sub-Saharan Africa,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,2,2,2,2,6,4,4,3,6,3,4,3,6,4,3,3,3,3,94.30106524,99.16077717,NA,94.30106524,100,0,0.839226233,NA,3.318602766,0,425000,NA,10.8,55,2.79,Oceania,NA,0,99,7.2,10997.4734903847,11601.4005261348,36.6966,38.099998,36.700001,9,49,0.741,1.399055863,30,35,NA,1.61953070470928,43700000,117.8305767,2.5700000000000003,2.380331999,0,7600.8447,0.86,45,2,902899,902899,896444,NA,22,NA,NA,22.677029,NA,East Asia and Pacific,0,1,0,0,0,0,0,0,NA,1874,NA,NA,NA,NA,NA,NA,NA,1970,NA,NA,NA,NA,NA,NA,NA,1872,NA,NA,NA,NA,NA,NA,NA,1970,NA,NA,NA,NA,NA,NA
Finland,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,99.44792539,100,100,99.99992167,0,0.551996286,99.63792833,0,7.8325e-5,2272000,33033.501683415896,12.4,42,0.24,Europe,85,0,91,1.2,47260.800458441,51089.7853321567,27.32977,27.68,27.1,NA,25,0.92,3.154019291,9,31,NA,1.48149076313272,3243000000,129.2443669,0.24,0,0,39893.371,3.8118,5,10,5548361,5548361,5530719,NA,15,NA,NA,42.346032,NA,Advanced industrial economies,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
