country,year,agricultural_land,co2_emissions,arable_land,total_sch_adult,childmort_ihme,conf_terr_deaths,dtp_vax_pct,fertility,hdi_undp,humanrights_fariss,cell_subscribers_per100,childmort_,gdppc_output_pwt,docs_perk,pop_est,pop_total,agricultural_employment,tax_rev_pct_gdp_total,tax_rev_pct_gdp,urbanization,area_sqmi,ever_colonized,ncolonizers,col1start,col1end,col1length,totalyrs_colonized,modern_sovereignty_current_name,state_age,fmr_soviet,col.belgium,col.britain,col.france,col.germany,col.italy,col.netherlands,col.portugal,col.spain,fertilit,value,gdppc_wb2005,gdppc_imf2005,populati,cow_code_n,un_code_n,pts_a,pts_s,na_status_a,na_status_h,na_status_s,rugged,rugged_popw,rugged_slope,rugged_lsd,rugged_pc,land_area,lat,lon,soil,desert,tropical,dist_coast,near_coast,gemstones,q_rule_law,cont_africa,cont_asia,cont_europe,cont_oceania,cont_north_america,cont_south_america,legor_gbr,legor_fra,legor_soc,legor_deu,legor_sca,colony_esp,colony_gbr,colony_fra,colony_prt,colony_oeu,africa_region_n,africa_region_s,africa_region_w,africa_region_e,africa_region_c,slave_exports,pop_1400,gini_disp,gini_disp_se,gini_mkt,gini_mkt_se,urban_pop_pct,urban_pop_growth,pop_growth,under5mortality,primary_sch_completion,gender_parity_school,ag_forest_fish_pct_gdp,no2_emissions_total,methane_emissions_total,greenhouse_emissions_total,other_greenhouse_total,co2_solidfuel_pct,co2_solidfuel_total,co2_emissions_percap,co2_liquidfuel_pct,co2_liquidfuel_total,co2_emissions_total,co2_emissions_pergdp,co2_emissions_gas_pct,co2_emissions_gas_total,fdi_inflows,grain_yield,pct_arable_land,pct_agricultural_land,agricultural_land_total
Belarus,2020,8453000,57445417,28.1407035175879,12.3,0.734,0,98,1.7269999999999999,0.808,-0.02901722,123.0082886,0.32000000000000006,16843.686,5.1905,9449321,9398861,11.06000042,34.610631,7.416336,79.483,80,0,0,0,0,0,0,1918,102,1,0,0,0,0,0,0,0,0,1.724,7,5328,5920,9498264,370,112,2,3,0,0,0,0.164,0.208,0.54,0.046,0,20748,53.542,28.054,50.611,0,0,0.598,0,0,-0.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,487364,23.9,1.4,31.1,2.1,78.595,0.452596435,-0.135674667,3.7,100.8925476,0.989269972,6.402244664,13905.15018,16619.66131,109647.2388,12276.32179,5.128205128,3256.296,6.701957705,29.29082929,18599.024,63497.772,0.983082497,61.16886117,38840.864,2.472072275,3358.7,28.00066795,42.03548913,85327.00195
Belgium,2020,1354000,83748962,28.0713342140026,11.8,0.41200000000000003,0,98,1.716,0.916,2.729590384,99.7421427,0.34,38340.887,3.0709,11589616,11555997,0.920000017,45.001071,15.05126,98.079,11,0,0,0,0,0,0,1830,190,0,0,0,0,0,0,0,0,0,1.74,1,39510,39364,11382393,211,56,1,1,0,88,0,0.388,0.261,1.239,0.109,0.178,3023,50.642,4.661,48.967,0,0,0.113,45.9637,0,1.413,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773466,25.7,1,36.5,2.1,98.001,0.452363134,0.41154188,3.8,79.33482361,1.069659948,0.686539593,8502.953829,9243.348927,133373.684,21937.68838,12.62913933,11789.405,8.328159898,53.1995129,49662.181,93350.819,0.186480679,30.91094787,28855.623,-12.04486241,9050.7,28.05151996,44.61030544,13508.00049
Belize,2020,172000,582795,3.94563787812363,10.5,1.9670000000000003,0,98,2.246,0.708,0.940695757,65.30473699,1.2300000000000002,6777.0044,1.1229,397621,397621,16.799999239999998,28.221464,7.802735,46.025,8,1,2,1524,1862,338,521,1981,39,0,0,1,0,0,0,0,0,1,2.546,2,3769,3763,374681,80,84,2,2,88,88,0,0.607,0.226,1.616,0.174,6.568,2281,17.205,-88.687,35.49,0,100,0.026,100,0,0.257,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5326,49.1,3.3,56.4,4.2,45.724,2.193970411,1.92457577,14.2,103.0243835,0.99000001,10.82934861,200.2156266,228.49122,1569.858503,194.9654225,0,0,1.400941234,99.25925926,491.378,495.045,0.32228029,0.740740741,3.667,6.209955686,4229.1,3.419552828,7.014467339,1600
Benin,2020,3950000,6702765,24.8315005321036,3.6,8.98,1,76,4.7,0.515,0.883672664,87.70201313,9.03,2113.9355,0.0791,12123198,12123198,38.27000046,9.503916,2.17224,48.415,43,1,1,1894,1960,66,66,1975,60,0,0,0,1,0,0,0,0,0,4.688,4,640,614,11175692,434,204,2,2,0,88,0,0.141,0.099,0.377,0.045,0.014,11062,9.65,2.339,74.973,0,97.489,0.367,10.2806,0,-0.23,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,457000,348867,45.7,1.9,46.5,2.3,47.312,3.89134693,2.734862013,98.3,80.74555969,0.877080023,22.64441018,4866.60258,6982.5426,33533.09673,16260.33977,2.959953569,187.017,0.61420609,86.07080673,5438.161,6318.241,0.736784709,0,0,2.167330474,1489.9,23.94466123,33.25647393,37500
Bermuda,2020,300,624448,5.55555555555556,NA,0.5820000000000001,0,NA,NA,NA,NA,103.0896604,NA,36434.191,1.766,62273,63903,NA,NA,NA,100,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,1.62,NA,92337,55275,65441,NA,NA,NA,NA,NA,NA,NA,0.015,0.014,0.03,0.006,0,5,32.31,-64.772,20,0,0,0,100,0,1.255,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,NA,NA,NA,NA,100,0.147056549,0.147164731,NA,81.19551849,1.044589996,0.745266618,20.85800652,30.959958,632.8769921,38.75926405,0,0,8.838314988,100,575.719,575.719,0.088979887,0,0,0.985053866,NA,5.555555678,5.555555678,3.000000119
Bhutan,2020,513000,1925367,2.46460409019402,3.1,3.007,0,97,1.931,0.612,1.795294373,95.5637066,2.85,8397.0967,0.4242,771612,771612,55.77999878,16.53535,7.224005,42.316,14,1,1,1910,1949,39,39,1948,71,0,0,1,0,0,0,0,0,0,1.984,2,2164,2274,807610,760,64,2,1,88,88,0,6.74,4.913,19.325,1.962,96.475,4700,27.417,90.435,66.365,0,0,0.389,0,0,-0.277,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36082,39.1,2.6,40,2.8,40.895,2.97300923,1.176843395,30.8,95.11670685,1.043830037,17.36712703,555.02586,1769.6796,3296.963725,-392.9023414,25.27472527,253.023,1.392229534,40.65934066,407.037,1001.091,0.515674888,0,0,0.16657175,3371,2.621644362,13.60633424,5190
Bolivia,2020,37727000,20700023,4.13551186190344,8.9,3.2439999999999998,0,NA,2.6510000000000002,0.693,0.993489422,101.5263482,2.6,5838.0708,1.5901,11673029,11673029,30.54000092,24.694968,4.018583,70.123,424,1,1,1559,1825,266,266,1825,195,0,0,0,0,0,0,0,0,1,2.923,3,1280,1300,11051600,145,68,1,3,0,0,0,0.853,0.911,2.343,0.258,13.57,108438,-16.71,-64.662,31.807,0,64.878,0.655,0,0,-0.327,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,829897,42.1,1.3,42.1,3,69.425,1.920073682,1.421899486,34.9,92.86688995,0.97536999,11.48192402,9732.60438,23231.418,621726.7268,571836.8134,0,0,1.90636432,52.04814948,10623.299,20410.522,0.833925334,38.48365074,7854.714,0.633154081,1869.3,4.110588018,34.78722422,376850
Bosnia & Herzegovina,2020,2211000,21417961,20.09765625,9.7,0.7040000000000001,0,73,1.2429999999999999,0.768,1.163504478,113.7691912,0.5900000000000001,11572.854,2.1616,3280815,3280815,17.95999908,37.850582,3.582266,49.02,NA,0,0,0,0,0,0,1992,28,0,0,0,0,0,0,0,0,0,1.253,4,4115,4063,3507017,346,70,2,2,0,0,0,2.311,1.288,7.075,0.665,40.253,5120,44.175,17.784,76.888,0,0,0.117,42.7623,0,-0.44,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,366341,39.4,2.8,46.4,5.5,48.245,-0.059036093,-0.826854592,5.7,NA,NA,5.995206661,1123.740018,3140.172,27108.4002,-1495.709203,78.14613228,17374.246,6.384938819,18.42322283,4096.039,22233.021,1.248664094,1.566881082,348.365,2.454262429,3732.1,20.0390625,43.14453125,22090
Botswana,2020,25861600,6518934,0.458066451396609,9.3,2.5140000000000002,0,95,2.7960000000000003,0.717,1.214679585,162.6411807,4.16,14997.142,0.5269,2351625,2351625,19.89999962,25.513983,10.534806,70.877,224,1,1,1895,1966,71,71,1966,54,0,0,1,0,0,0,0,0,0,2.799,3,7492,8352,2291661,571,72,2,2,0,88,0,0.181,0.478,0.488,0.048,0.301,56673,-22.189,23.814,15.249,1.455,0,0.764,0,208687,0.58,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,80312,59.3,2.9,58.9,2.2,69.446,3.27767698,2.197675758,37.6,101.9577179,1.010480046,1.998383091,2228.56179,4448.169,82110.27676,70405.36291,54.6923879,3846.683,3.367451334,42.70072993,3003.273,7033.306,0.428197213,0,0,2.301263005,400.9,0.458066462,45.6330168,258615.9961
Bouvet Island,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,2020,236878801,467383500,6.67158004053533,7.8,2.019,0,73,1.706,0.759,-1.167172456,95.71653293,1.3900000000000001,13812.992,2.1643,212559409,212559409,9.0799999239999991,34.437942,7.262323,87.073,3300,1,1,1533,1822,289,289,1822,198,0,0,0,0,0,0,0,1,0,1.778,2,6510,6796,209288278,140,76,4,3,0,0,0,0.24,0.25,0.654,0.076,0.558,845942,-10.775,-53.085,18.783,0,88.567,0.642,9.68309,12159,-0.257,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,931150,46.5,1.2,53.7,1.7,86.569,1.084638132,0.783847579,14.8,100.6846466,1.016980052,4.361279373,214529.1221,477076.7946,2989417.957,1845285.067,13.90434662,73666.363,2.612933521,63.99086379,339028.818,529808.16,0.218633397,14.7404485,78096.099,4.726407981,5208.5,9.688279928,33.92453345,2835460
British Indian Ocean Territory,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,0.016,0.037,0.006,0,8,-6.845,72.187,NA,0,100,0,100,0,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
British Virgin Islands,2020,7000,139250,6.66666666666667,NA,NA,NA,NA,NA,NA,NA,134.0648279,NA,20312.861,NA,30237,30237,NA,NA,NA,48.515,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,62411,59549,31196,NA,NA,NA,NA,NA,NA,NA,1.257,1.873,3.131,0.34,19.147,15,18.511,-64.518,100,0,100,0,100,0,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,120,NA,NA,NA,NA,47.723,1.566130583,0.757847309,NA,81.10883331,NA,NA,7.59502914,19.478838,74.447471,6.04519966,0,0,6.198316603,100,179.683,179.683,NA,0,0,NA,NA,6.666666667,46.66666667,70
Brunei,2020,14400,10158494,0.94876660341556,9.1,0.9970000000000001,0,99,1.796,0.853,1.976181804,132.6607198,1.1400000000000001,51703.047,1.609,437483,437483,1.950000048,18.315939,20.654432,78.25,2,1,1,1888,1984,96,96,1984,36,0,0,1,0,0,0,0,0,0,1.856,6,23096,21380,428697,835,96,2,1,0,88,0,0.52,0.134,1.366,0.162,5.089,527,4.521,114.748,62.29,0,100,0.023,100,0,0.59,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2328,51.8,5.3,49.8,5.6,77.629,1.461076738,1.051993743,10.5,106.5220795,1.004359961,1.017641713,342.371874,4539.3672,14828.96701,2807.609021,0,0,22.2291779,18.55877617,1690.487,9108.828,0.664129564,74.39613527,6776.616,3.858213362,2554.2,0.948766603,2.732447745,143.9999962
Bulgaria,2020,5030000,37444110,32.0375829034635,11.8,0.8560000000000001,0,92,1.585,0.813,0.618488942,116.2063245,0.67,18639.945,4.0332,6948445,6927288,6.6199998860000004,30.065537,5.349283,75.686,42,0,0,0,0,0,0,1908,112,0,0,0,0,0,0,0,0,0,1.53,2,5374,5117,7075947,355,100,2,2,0,88,0,1.479,0.711,4.498,0.427,20.196,11063,42.765,25.239,82.101,0,0,0.149,31.4395,0,-0.16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,894427,34.5,2.1,37,3.7,75.008,-0.280793034,-0.733767859,7.5,94.63205719,0.976090014,3.647615527,4645.576644,11793.66449,67942.69563,-1507.143645,58.96948215,25012.607,5.871615869,26.0914671,11067.006,42416.189,0.803294898,12.76043918,5412.492,3.96103655,5479.7,32.20338983,46.25092115,50210
Burkina Faso,2020,12100000,3969636,21.9298245614035,1.5,11.559000000000001,0,91,5.029,0.423,0.092185174,100.2122395,8.75,1628.4565,0.0847,20903278,20903278,26.20999908,15.9257,4.801423,30.607,105,1,1,1895,1960,65,65,1960,60,0,0,0,1,0,0,0,0,0,5.437,4,490,548,19193382,439,854,2,3,0,88,0,0.236,0.214,0.638,0.066,0.051,27360,12.274,-1.747,56.909,0,49.82,0.735,0,0,-0.52,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,167000,692976,37.8,2,38,2.4,29.358,4.984159818,2.867078367,81.2,63.51908875,0.982140005,28.60177301,7366.47978,14957.178,43910.40239,19322.76341,0,0,0.162018438,92.92149292,2647.574,2849.259,0.253269325,0,0,0.020825805,1009,21.92982456,44.2251462,121000
Burundi,2020,2033000,602181,46.7289719626168,3,8.661,NA,93,5.237,0.417,-1.595026447,56.64970019,5.65,799.61115,0.1001,11890781,11890781,86.20999908,NA,3.187575,13.708,10,1,2,1899,1922,23,63,1962,58,0,1,0,0,1,0,0,0,0,5.863,7,131,136,10864245,516,108,4,4,0,0,0,1.78,1.586,4.721,0.5,27.519,2568,-3.365,29.887,24.049,0,75.354,0.906,0,0,-1.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,86.997,239693,37,2.6,37.7,3,13.032,5.700086341,3.166773442,61.2,70.35003662,1.002329946,30.64588764,789.484998,2718.861,6254.371024,1737.912397,3.333333333,14.668,0.044699992,88.33333333,388.702,440.04,0.182205953,0,0,0.009975786,1413.5,46.72897196,79.16666667,20330
Cambodia,2020,5566000,15325618,22.1561296170406,4.8,3.49,0,92,2.4530000000000003,0.582,0.025049962,129.9161522,2.66,3161.0571,0.1927,16718971,16718971,34.52999878,19.998263,4.647886,24.232,69,1,1,1884,1953,69,69,1953,67,0,0,0,1,0,0,0,0,0,2.595,7,716,772,16005373,811,116,3,2,0,0,0,0.54,0.146,1.421,0.154,6.094,17652,12.707,104.921,22.213,0,100,0.17,25.378,0,-1.013,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1383162,33.9,2.7,34.9,3.3,23.388,3.25025074,1.490355371,29.2,89.563797,0.914849997,22.0129559,16685.36808,35914.914,127399.5869,70138.52167,13.76851344,920.417,0.437653585,75.80910587,5067.794,6684.941,0.449917098,0,0,12.62660995,3568.8,21.52730569,30.90301382,54550
Cameroon,2020,9750000,6889318,13.1158638488714,6.3,7.8709999999999996,0,67,4.4430000000000005,0.556,-0.931839823,82.70374759,7.48,3149.2612,0.0881,26545864,26545864,43.49000168,13.612244,3.647866,57.56,183,1,3,1884,1916,32,71,1961,59,0,0,1,1,1,0,0,0,0,4.63,6,1036,1004,24053727,471,120,4,3,0,88,0,0.515,0.545,1.374,0.157,4.031,46540,5.697,12.743,27.829,0,94.12,0.389,10.9018,0,-1.287,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,66718.812,1317285,43.7,2.3,43.7,2.7,56.374,3.676933152,2.612290751,84,70.08033752,0.886900008,14.28406714,13900.27848,18516.366,100922.1362,60974.09586,0,0,0.308791722,72.56544503,5082.462,7003.97,0.22050456,18.16753927,1272.449,2.330861538,1664.9,13.11586385,20.62575363,97500
Canada,2020,58199000,535822990,4.31505344322013,13.3,0.581,1,91,1.499,0.926,2.791056339,91.86310664,0.49000000000000005,42906.633,2.6102,37742157,38005238,1.50999999,33.355906,16.38411,81.562,3800,1,2,1608,1763,155,311,1867,101,0,0,1,1,0,0,0,0,0,1.6,1,37723,37522,36708083,20,124,1,1,0,0,0,0.775,0.37,2.695,0.23,9.122,909351,61.495,-98.334,16.794,0,0,1.43,4.4433,5166,1.757,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,174110,30.4,0.8,45.4,1,81.411,1.484202357,1.409246617,5.1,97.3035202,1.007869959,1.711327321,33413.52724,106846.7743,1027063.855,196078.1549,14.10774503,75785.889,15.15892722,46.22510137,248318.239,537193.498,0.301412719,37.84182287,203283.812,2.549181717,4042.5,4.812883034,6.891838245,626710
Cape Verde,2020,79000,549930,12.4069478908189,6.1,2.331,0,96,2.213,0.654,1.496484765,108.3184376,1.4900000000000002,6968.6436,0.7814,555988,555988,10.600000380000001,21.274881,6.695865,66.652,1,1,1,1462,1975,513,513,1975,45,0,0,0,0,0,0,0,1,0,2.268,1,3168,3065,546388,402,132,2,1,88,88,0,2.367,1.399,6.502,0.759,40.048,403,15.942,-23.981,11.663,0,0,0.004,100,0,0.71,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,47.8,2.7,48.6,3,65.732,1.878889791,1.159766769,17.4,80.83017731,1.005929947,4.725272366,81.4856886,151.48632,376.4004225,75.78120111,0,0,0.948113817,100,491.378,491.378,0.277003623,0,0,5.132505379,167.6,12.40694789,19.60297767,790
Caribbean Netherlands,2020,NA,300654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26221,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,2020,2700,NA,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,152.4975545,NA,29804.459,1.939,65720,65720,NA,NA,NA,100,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,59132,56263,61559,NA,NA,NA,NA,NA,NA,NA,0.096,0.085,0.237,0.028,0,26,19.414,-80.926,100,0,100,0.001,100,0,1.515,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,100,1.241823478,1.241823478,NA,NA,NA,0.397277756,13.86698262,28.722792,307.345957,50.78025633,0,0,8.91920852,100,542.716,542.716,NA,0,0,1048.380371,NA,0.833333346,11.2500002,27.00000048
Central African Republic,2020,5080000,187906,2.88933834151979,4.3,13.11,0,47,4.5680000000000005,0.367,-2.056797688,33.619216110000004,11.01,727.28943,0.0721,4829764,4829764,69.84999847,7.788664,1.084861,42.198,NA,1,1,1906,1960,54,54,1960,60,0,0,0,1,0,0,0,0,0,4.206,7,407,406,4659080,482,140,4,4,0,0,0,0.197,0.257,0.528,0.06,0.033,62300,6.574,20.487,10.967,0,97.382,1.081,0,10802,-1.07,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2009.941,387580,51,2.6,51.9,2.9,41.364,2.451736114,1.519051537,121.5,42.15803146,0.745689988,33.89625511,100651.5192,85676.838,515134.0786,328300.9223,0,0,0.067357126,100,300.694,300.694,0.200408936,0,0,0.792587159,937.4,2.889338342,8.154354875,50800
Chad,2020,50238000,912301,4.12960609911055,2.3,12.275,NA,50,5.553,0.404,-0.515494095,48.06483101,11.38,1307.972,0.0434,16425859,16425859,75.05999756,7.1337,4.114036,23.52,495,1,1,1910,1960,50,50,1960,60,0,0,0,1,0,0,0,0,0,6.05,7,506,628,14899994,483,148,4,3,0,88,0,0.419,0.197,1.135,0.112,3.605,125920,15.365,18.667,19.262,21.72,13.413,1.254,0,0,-0.92,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,529000,776187,41.5,2.4,42,2.9,23.059,3.899088343,3.023579699,123.2,41.75954819,0.705560029,44.8214742,14862.85452,18363.876,109796.02,75263.09465,0,0,0.053407242,86.4321608,630.724,729.733,0.055607004,0,0,3.358134157,825.2,3.891359593,39.65613088,499350
Chile,2020,15693000,81171490,1.63140254891518,10.3,0.788,0,96,1.611,0.843,1.127567152,132.1845598,0.7000000000000001,22728.875,2.5912,19116209,19116209,8.979999542,19.325807,8.216455,87.727,291,1,1,1541,1818,277,277,1818,202,0,0,0,0,0,0,0,0,1,1.749,1,9511,9674,18054726,155,152,2,2,0,0,0,2.481,0.677,7.365,0.731,38.199,74880,-37.937,-71.384,22.158,15.489,0,0.074,68.3825,0,1.183,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,553265,44.9,0.6,51.3,0.6,87.564,1.475558447,1.391010541,7.4,92.80403137,0.99168998,3.642783841,8949.18726,18380.502,120687.8924,15093.26858,31.04152787,25628.663,4.6490622,56.00710637,46240.87,82562.505,0.319274642,9.873417722,8151.741,2.039431967,6780.8,1.707794682,21.17164983,157417.998
China,2020,527733000,10667887453,12.678245804438,7.8,1.316,0,99,1.7,0.752,-1.298812854,121.7922911,0.79,13042.646,1.9798,1439323774,1402112000,25.32999992,24.807509,5.372031,61.428,3700,0,0,0,0,0,0,1500,520,0,0,0,0,0,0,0,0,0,1.569,7,4148,4392,1386395000,710,156,4,4,0,0,0,1.878,0.708,5.493,0.537,28.648,932748,36.564,103.836,22.836,5.77,0.301,0.987,5.76513,4410,-0.357,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80943756,41.2,1.4,46.7,1.8,59.152,2.491628201,0.455899679,9.3,99.88661957,1.01504004,7.190194039,587166.3655,1752290.14,12454710.61,141901.1,72.20364323,7431146.164,7.543907641,12.28250638,1264106.575,10291926.88,1.237418636,3.438424818,353880.168,1.495368482,6029,12.66482109,56.2123131,5277330
Christmas Island,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.321,1.422,3.477,0.403,14.025,13.5,-10.488,105.643,NA,0,100,0,100,0,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cocos (Keeling) Islands,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,0.018,0.031,0.005,0,1,-12.122,96.867,NA,0,100,0,100,0,NA,0,0,0,1,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,2020,49492000,89104941,5.42676881478143,8.3,1.561,0,92,1.771,0.747,-0.892362842,131.6724442,1.3800000000000001,12796.994,2.1848,50882884,50882884,15.77000046,19.394309,NA,81.425,440,1,1,1525,1820,295,295,1820,200,0,0,0,0,0,0,0,0,1,1.875,3,4578,4678,49065615,100,170,3,3,0,0,0,0.885,0.89,2.376,0.277,14.366,110950,3.838,-72.866,30.444,0,89.763,0.379,16.7275,0,-0.767,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,902880,47.9,1.4,50.8,2.1,80.778,1.929120268,1.517270891,14.7,105.0309067,1.011489987,6.274849283,25642.14414,67978.92,173411.7679,10723.31266,17.39054596,14623.996,1.790356827,47.33996163,39808.952,84091.644,0.240596985,26.97540555,22684.062,3.33401976,4321.9,1.521946801,40.25741466,446656.0156
Comoros,2020,131000,258456,35.4648038688877,4.8,5.019,0,91,4.073,0.503,2.276412694,67.60224049,6.29,2871.0391,0.2715,869595,869595,34.38000107,8.146577,1.459768,29.38,7,1,1,1914,1975,61,61,1975,45,0,0,0,1,0,0,0,0,0,4.418,5,666,655,813912,581,174,2,1,88,88,0,3.328,2.172,9.049,1.063,64.479,186.1,-11.888,43.671,56.043,0,100,0.003,100,0,-1.28,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,52.2,3.1,52.8,3.6,28.965,2.865855967,2.239170611,69,76.72007751,0.993149996,29.93875345,59.4120828,283.79562,564.2206617,120.2874402,0,0,0.202812784,100,154.014,154.014,0.148127553,0,0,0.805898174,1357.1,34.92745721,71.46695091,1330
Congo - Brazzaville,2020,10628000,3116760,1.61054172767204,6.3,5.99,0,79,4.321000000000001,0.606,-1.285834248,95.34053637,4.78,3726.6741,0.1645,5518092,5518092,33.52999878,7.808489,2.986998,67.829,NA,1,1,1882,1960,78,78,1960,60,0,0,0,1,0,0,0,0,0,4.811,7,2197,2159,5260750,484,178,4,4,0,88,0,0.152,0.411,0.406,0.049,0.243,34150,-0.831,15.246,4.063,0,100,0.457,4.83001,0,-1.413,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,94662.922,238219,47,2.5,47,2.8,66.916,3.267004414,2.5817013,47.5,70.30071259,1.001809955,7.121338547,2957.35536,7156.1874,35743.91852,21304.00465,0,0,0.653359719,77.96208531,2412.886,3094.948,0.217370894,14.57345972,451.041,13.31768979,828.9,1.610541728,31.11859444,106270
